id,created_at,user_screen_name,user_location,user_description,full_text
1537158574580834304,2022-06-15 19:42:17+00:00,silverbow53,west allis,just a grandma Democrat..born in Montana raised in Wisconsin,@Jim_Jordan Too bad you can't see farther than your nose...the future is renewable energy so we aren't dependent on foreign sources!!!
1537158495073599489,2022-06-15 19:41:58+00:00,PereFex,✶ ✶ ✶ ✶,"🎸🎙: The Peregrine Effect   🎸🎛: Peregrine Effects     Sonic electron-wrangler. Noisy boxes, noisy songs, mostly positive tweets about music.","To be fair, if there is a way of generating renewable energy from the upper atmosphere and it gets patented to be used solely for powering fully wireless pedalboards, that’s a pretty baller move."
1537158413448368129,2022-06-15 19:41:39+00:00,elium2,"Sandy Springs, GA","Leftist political analyst with ADHD. Frequent topics currently include Georgia & RI. Sometimes I talk about justice. | aro, cis, he/him, autistic, 24",RT @TedNesi: .@RIHouse and @RISenate have now both passed a bill that would require 100% of RI electricity to be offset by renewable energy…
1537158374973771776,2022-06-15 19:41:30+00:00,Fantshye,"On Earth 9.1450° N, 40.4897° E",Proud Ethiopian 🇪🇹 💯 Born & Raised to Fight ‼️ Love to hear Father’s talk ❤️❤️❤️,RT @IbroEthio: Africa's population will exceed 2B by 2040;its demand for energy will increase to 3.1 Mil. barrels of oil/day. Without renew…
1537158370272198656,2022-06-15 19:41:29+00:00,CindyHarcar,,Life is good...Went to Arizona State and I am a proud Sun Devil. Love the beach and my husband!,"RT @NathanMackBrown: @JoeBiden President Biden, you are doing the right thing by using your executive powers to mandate increased renewable…"
1537158357366231040,2022-06-15 19:41:26+00:00,XR_WestMass,,"""We refuse to bequeath a dying planet to future generations... We act in peace, with ferocious love of these lands in our hearts. We act on behalf of life.""","RT @NFGiM: As we explore solutions to the winter reliability concerns @isoNewEngland is raising, Patrick Woodcock from @MassDOER *should* u…"
1537158354585325568,2022-06-15 19:41:25+00:00,Fantshye,"On Earth 9.1450° N, 40.4897° E",Proud Ethiopian 🇪🇹 💯 Born & Raised to Fight ‼️ Love to hear Father’s talk ❤️❤️❤️,"RT @IbroEthio: Just 17% of the world’s population, Africa contribs to only 4% of global energy investment. Reliable electricity supply in A…"
1537158336415776771,2022-06-15 19:41:21+00:00,GeorgemoyoGM,"lusaka,zambia",Entrepreneur💯||Marvel fan💪||Public administrator 👔|| Man utd⚽️🔥,"RT @Futurecelebrit7: Wind and other clean, renewable energy will help end our reliance on fossil fuels and combat the severe threat that cl…"
1537158322733961224,2022-06-15 19:41:17+00:00,JaneMcC33551013,Bonny Scotland,,"RT @ladyguru1: This time-we'll ask the questions:
• What oil are you going to use?
• Where will you keep your nukes?
• Where will you get…"
1537158246770872328,2022-06-15 19:40:59+00:00,Pequeno_Azul,Terra ,"Wry observer of human folly. Reader, traveller, spouse, friend, guide, confidante, teacher, student, wanderer, homemaker, protector, protected, healer.","RT @ladyguru1: This time-we'll ask the questions:
• What oil are you going to use?
• Where will you keep your nukes?
• Where will you get…"
1537158234905014272,2022-06-15 19:40:56+00:00,Fantshye,"On Earth 9.1450° N, 40.4897° E",Proud Ethiopian 🇪🇹 💯 Born & Raised to Fight ‼️ Love to hear Father’s talk ❤️❤️❤️,RT @addisethio01: Over 90% of Ethiopian households depend on firewood for energy which contributes to deforestation &amp; climate change. When…
1537158207612735488,2022-06-15 19:40:50+00:00,Fantshye,"On Earth 9.1450° N, 40.4897° E",Proud Ethiopian 🇪🇹 💯 Born & Raised to Fight ‼️ Love to hear Father’s talk ❤️❤️❤️,RT @afizejem: Over 90% of Ethiopian households depend on firewood for energy which contributes to deforestation &amp; climate change. When Ethi…
