id,created_at,news
1536445851123449866,2022-06-13 20:30:11+00:00,"A male mastodon died fighting with a rival during mating season about 13,200 years ago in what is now northeast Indiana. Now, his well-preserved fossil and tusks reveal not only how the 8-ton adult died, but also where he trekked across North America. https://t.co/2sJKoaNGPW"
1536438331604897792,2022-06-13 20:00:18+00:00,"The vanished British journalist and Indigenous affairs expert who went missing in a remote region of the Amazon are unlikely to be found alive, Brazilian President Jair Bolsonaro said on Monday, adding that he believes some ""malice"" was done to them. https://t.co/4dlDKtoApl"
1536430757123485696,2022-06-13 19:30:12+00:00,The United Kingdom's controversial plan to send asylum-seekers to Rwanda as early as Tuesday is set to go ahead after the Court of Appeal in London confirmed an earlier decision to deny an injunction to block the first flight. https://t.co/0ZqHLcinLB
1536423229853773824,2022-06-13 19:00:18+00:00,"The unusual starquakes are among multiple new discoveries made by Gaia, a mission launched in 2013 to create the ""most accurate and complete multi-dimensional map of the Milky Way."" https://t.co/0KSWr6x2HJ"
1536415678755966977,2022-06-13 18:30:17+00:00,"After eight months of political paralysis, the kingmaker of Iraqi politics has ordered his bloc to withdraw from parliament. https://t.co/hqRGcfPaEA"
1536411898127822848,2022-06-13 18:15:16+00:00,Kevin Spacey is set to appear before a UK court later this week after being charged with four counts of sexual assault against three men. https://t.co/UUkt0Ug3uK
1536408107584200704,2022-06-13 18:00:12+00:00,"In a time when traumatic events such as pandemics, shootings and loss seem never-ending, mindfulness can be a tool for feeling capable during periods of uncertainty. https://t.co/6S5lTptEKZ"
1536400556020875264,2022-06-13 17:30:12+00:00,"Kyiv’s population dwindled from 4 million to just 1 million at the height of the conflict but is back to 3 million, according to local officials. https://t.co/KGQ5bg3xXZ"
1536370371774910464,2022-06-13 15:30:15+00:00,"Drinking a Jack and Coke is about to become, somehow, even easier.
https://t.co/jzWzLcrcke"
1536359010969976833,2022-06-13 14:45:07+00:00,"US stocks plunged into bear market territory as Wall Street investors grew increasingly nervous about the prospect of even more harsh medicine from the Fed to take the sting out of inflation.
https://t.co/S7OwNtbfbH"
1536355268455542788,2022-06-13 14:30:14+00:00,"Jennifer Hudson made history Sunday night
https://t.co/BCLqtwaLAr"
1536351454130229248,2022-06-13 14:15:05+00:00,"Rory McIlroy appeared to take a dig at Greg Norman, the former golfer and now CEO of the new LIV Golf series, after the Northern Irishman successfully defended his 2019 title at the RBC Canadian Open.
https://t.co/5blByWkK5q"
1536347704984469504,2022-06-13 14:00:11+00:00,"It’s one of the ultimate tests of man against beast -- and over the weekend a Briton got the better or his four-legged rival
https://t.co/ZYdPW0gVPx"
1536343913450983426,2022-06-13 13:45:07+00:00,"Amber Heard is speaking out in her first interview since her defamation trial with her former husband, Johnny Depp
https://t.co/39otHzKTuD"
1536332620644098050,2022-06-13 13:00:15+00:00,"Bitcoin and other cryptocurrencies have plunged, and one of the world’s biggest lenders of cryptocurrency has paused all withdrawals from its platform
https://t.co/DaKBGLWmNG"
1536321264784121857,2022-06-13 12:15:07+00:00,"Hall, originally from Edinburgh, set off from Siena, Italy with his horse Sasha and the pair have since made their way through Tuscany to the Ligurian mountains
https://t.co/ueKG1oCesr"
1536317494629105665,2022-06-13 12:00:08+00:00,"The world’s biggest powers might have once pledged to work toward a world without nuclear weapons, but global stockpiles are expected to rise over the coming decade
https://t.co/v6KKLdWl6b"
1536313706652606464,2022-06-13 11:45:05+00:00,"June’s full moon, the strawberry moon, will illuminate the sky this week.
https://t.co/NS0c8tn19J"
1536306162613858306,2022-06-13 11:15:07+00:00,"Retired Marine Gen. John Allen resigned as president of the Brookings Institution amid a federal investigation into whether he lobbied the US government on behalf of Qatar during the Trump administration
https://t.co/93UDr7V7Qe"
1536291055070478336,2022-06-13 10:15:05+00:00,"China is urging college graduates to seek jobs in the countryside as youth unemployment in urban areas soars to the highest level in history
https://t.co/BsPwDlxbZ4"
1536283521798529024,2022-06-13 09:45:09+00:00,"French President Emmanuel Macron's centrist alliance won the first round of lower house elections by a razor-thin margin over the left bloc of Jean-Luc Melenchon, but is likely to extend its lead in next weekend's second-round runoff
https://t.co/wkI10WMPtZ"
1536280225985662976,2022-06-13 09:32:03+00:00,"Graphic video of men stomping on a woman’s head shakes China to the core | Analysis by Nectar Gan 
https://t.co/wgFxyBBNFz"
1536275982474260481,2022-06-13 09:15:11+00:00,"South Korean petrochemical firms joined the automobile and steel makers in cutting operations due to mounting inventories -- as transport disruptions from a strike by truckers spread quickly across Asia’s manufacturing powerhouse 
https://t.co/aa8HH6UHio"
1536272213711650818,2022-06-13 09:00:12+00:00,"Sri Lanka may be compelled to buy more oil from Russia as the nation faces shortages amid an unprecedented economic crisis
https://t.co/qeaSsRzhdx"
1536268412078399488,2022-06-13 08:45:06+00:00,"Zhang Daqian may not be a household name in the West, but in China -- and the global art market at large -- he is on par with the likes of Warhol and Monet.
https://t.co/E2HH6Isuu9"
1536267154521305089,2022-06-13 08:40:06+00:00,"Ukrainian forces pushed back from center of Severodonetsk, says military
https://t.co/PFVFs5QHYB"
1536264660768407553,2022-06-13 08:30:12+00:00,"Authorities in India’s Uttar Pradesh state have demolished the homes of several people accused of involvement in riots triggered by derogatory remarks made by ruling party figures about Islam’s Prophet Mohammad 
https://t.co/z9LrqLSTLc"
1536257112589930496,2022-06-13 08:00:12+00:00,The end of the Jurassic era arrived with a deafening roar at the box office. https://t.co/spf1xxlf4y
1536249557176045568,2022-06-13 07:30:11+00:00,"Why won't Americans use the metric system? In short, American exceptionalism. https://t.co/0Qr9SBxaXs"
1536241988831682560,2022-06-13 07:00:06+00:00,"Before Dave Thomas passed away in 2002, he regretted his decision to name the fast-food empire after his daughter, even apologizing to her later on in his life. https://t.co/SZdOIHTULf"
1536234446340366338,2022-06-13 06:30:08+00:00,"Criticizing the Kremlin comes at a high price, and on the heels of an interview in April, writer Vladimir Kara-Murza was arrested and is still behind bars. https://t.co/tshEVLae6E"
1536226920186126336,2022-06-13 06:00:14+00:00,"The low-lying Pacific islands, which include Fiji, Tonga and Samoa, are some of the most vulnerable countries in the world to the extreme weather events caused by climate change. https://t.co/00Fcm2hFCm"
1536219368077549568,2022-06-13 05:30:13+00:00,Inflation is hitting everyone hard -- even Snoop Dogg. https://t.co/1ty98wJYQD
1536204231769825281,2022-06-13 04:30:04+00:00,This traffic stop between a Black man and a White state trooper began with fear. It ended with a surprising act of kindness. https://t.co/J2rEqS16Km
1536189140458520578,2022-06-13 03:30:06+00:00,They were teenage sweethearts. Now he's a single dad planning a funeral. https://t.co/Nifjfgu1qM
1536174039454072835,2022-06-13 02:30:06+00:00,"Asian markets and US stock futures fell Sunday night, days after the Dow fell 880 points on a surprising inflation report. https://t.co/PBPPMWEcNc"
1536158949820485633,2022-06-13 01:30:08+00:00,"The Little Mermaid famously sang ""flipping your fins, you don't get too far."" Apparently, she's never seen Merle Liivand swim. https://t.co/1iZn2zGiF6"
1536143873097052160,2022-06-13 00:30:14+00:00,"It was a surreal moment for the 17-year-old to be accepted into all the Ivy League schools, whose mother emigrated to the US from Nigeria three decades ago. https://t.co/NUoiXoxdRZ"
1536128739989409793,2022-06-12 23:30:06+00:00,"Just weeks after his own re-election, French President Emmanuel Macron's centrist alliance Ensemble risks losing its absolute majority in parliament. https://t.co/VyxnglP4kv"
1536121204142223362,2022-06-12 23:00:09+00:00,Country music superstar Toby Keith has announced he has been battling stomach cancer since late last year but has received treatment and plans to return to the stage soon. https://t.co/9255yeKS1C
1536113644748038144,2022-06-12 22:30:07+00:00,The Tony Awards celebrate the best in theater and this year's celebration is returning to Radio City Music Hall for the first time since the pandemic. https://t.co/ROLynP8HIR
1536098563284946949,2022-06-12 21:30:11+00:00,"""Squid Game"" is officially coming back. https://t.co/s6eLRcCIxT"
1536069519361318912,2022-06-12 19:34:46+00:00,Nine people have been arrested in China following an assault on four women in the northern city of Tangshan. https://t.co/fvkWNHXtOz
1536060845515472897,2022-06-12 19:00:18+00:00,"This one law could put a fire under Apple’s designers to shift fully to USB-C and potentially finally kill the Lightning charger for good | Analysis by @allisondmorrow
https://t.co/0Bi9QStOlE"
1535989530393825281,2022-06-12 14:16:56+00:00,Max Verstappen cruised to victory at the Azerbaijan Grand Prix to extend his lead at the top of the Formula One drivers' championship to 21 points. https://t.co/1o8tA0oTXf
1535985327860600832,2022-06-12 14:00:14+00:00,Commuters on an interstate in Oklahoma City were treated to a free rodeo show when a cowboy had to lasso a loose cow during morning traffic. https://t.co/9c2kevZ9HM https://t.co/IgAhQEe2Zk
1535970224583090176,2022-06-12 13:00:13+00:00,"Female animals are just as promiscuous, competitive, aggressive and dynamic as their male counterparts and play an equal role in driving evolutionary change, according to a new book. https://t.co/ut2VnCLnCG"
1535966413575360514,2022-06-12 12:45:04+00:00,Rebranded McDonald's restaurants have been unveiled in Russia -- with a new name and a new logo. https://t.co/MNoEogBHsO
1535962657576169472,2022-06-12 12:30:09+00:00,This traffic stop between a Black man and a White state trooper began with fear. It ended with a surprising act of kindness. https://t.co/HW66NQRFSr
1535958877707051009,2022-06-12 12:15:07+00:00,"“It was crazy, it turned into a circus within minutes.” 

One lucky driver couldn't believe his eyes when he came across a gas station's incredible price glitch. https://t.co/2EKCaa8FAe https://t.co/nug36Wdbn6"
1535955098379091971,2022-06-12 12:00:06+00:00,"The 1991 film, which featured an interracial romance between Denzel Washington's Demetrius and Sarita Choudhury's Mina, has been rereleased. Director Mira Nair recalls how the story evolved and the challenges she faced while trying to make the film. https://t.co/iwsIZHNR7T"
1535951304312377344,2022-06-12 11:45:02+00:00,"Within weeks, the Supreme Court will issue an opinion in a blockbuster abortion case. CNN answers your questions on what it would mean if Roe v. Wade is overturned. https://t.co/drp62Bfw9f"
1535947781831024640,2022-06-12 11:31:02+00:00,They were teenage sweethearts. Now he's a single dad planning a funeral. https://t.co/nAWjI1l5Mv
1535943761041231872,2022-06-12 11:15:03+00:00,Inflation is hitting everyone hard -- even Snoop Dogg https://t.co/RpT0XjL6xP
1535939998775640064,2022-06-12 11:00:06+00:00,Shaun Pinner was sentenced to death on Thursday alongside compatriot Aiden Aslin and Moroccan national Brahim Saadoune. https://t.co/YVHfX3DZJ1
1535936231388897281,2022-06-12 10:45:08+00:00,"Chinese Defense Minister Wei Fenghe accused the United States of being a ""bully"" and ""hijacking"" countries around the region, during a combative speech https://t.co/5yoxU6A0is"
1535928685219483650,2022-06-12 10:15:09+00:00,"William Shatner — the 90-year-old actor, author, and, more recently, the oldest person ever to travel to space — is showing no signs of slowing down https://t.co/WzqJsD4vUw"
1535924918726041602,2022-06-12 10:00:11+00:00,Commuters on an interstate in Oklahoma City were treated to a free rodeo show when a cowboy had to lasso a loose cow during morning traffic. https://t.co/tb5KwJlY0Y https://t.co/afKAqbpabR
1535921108079325184,2022-06-12 09:45:02+00:00,Charl Schwartzel wins the inaugural LIV Golf individual competition and $4 million prize https://t.co/mx0rPyKwJm
1535917346698711045,2022-06-12 09:30:06+00:00,"Ukrainians are using 3D technology to preserve hundreds of cultural artifacts in a digital archive, far away from Russia's attacks. https://t.co/F5wKwTNfff"
1535913575667142657,2022-06-12 09:15:06+00:00,At first glance Bakhmut doesn't look like a city at war. https://t.co/o8FMvqbGss
1535909829289693190,2022-06-12 09:00:13+00:00,Analysts believe that Tehran may have already attained the material needed to manufacture a nuclear weapon. https://t.co/85VQPBaO98
1535906012292579328,2022-06-12 08:45:03+00:00,"Their records were locked in caves during the pandemic. Now they say an ""unreasonable delay"" is still stalling their citizenship applications. https://t.co/CBo4wUrYSK"
1535902486862745602,2022-06-12 08:31:03+00:00,Germany's Lufthansa Technik has developed a cabin concept for customized private planes that takes inspiration from another must-have item for the wealthy -- the superyacht. https://t.co/9tLhygM2nM
1535898472355971072,2022-06-12 08:15:06+00:00,"Just as summer heats up, the US has lifted its long-standing requirement for all travelers entering the country to present a negative Covid-19 test. https://t.co/mqdOx72v6j"
1535894694881898497,2022-06-12 08:00:05+00:00,"A woman was awarded $5.2 million in a settlement from insurance company GEICO after contracting a sexually transmitted disease from her partner in his vehicle, which was insured by the company, court documents show.  https://t.co/mWQXNC82Nr"
1535819195291770882,2022-06-12 03:00:04+00:00,It began as a family argument and ended in tragedy – a teenage girl stabbed to death by her elderly grandfather in a case that shocked a nation https://t.co/udouRBqZC5
1535796560684011522,2022-06-12 01:30:08+00:00,"Mexican immigration authorities have dissolved a caravan of almost 7,000 people that had departed the southern city of Tapachula and was headed to Mexico City, the Mexican National Institute of Migration says https://t.co/jJaRmqtre5"
1535781456244805632,2022-06-12 00:30:07+00:00,The federal civil case alleging that Portuguese football star Cristiano Ronaldo raped a woman in a Las Vegas hotel room in 2009 was dismissed  https://t.co/O8F5SEXgok
1535760322677592065,2022-06-11 23:06:08+00:00,Mo Donegal crosses the finish line first in the 154th running of the Belmont Stakes https://t.co/9gO4eWhrpg https://t.co/Fm3SzyJpwt
1535751507009740800,2022-06-11 22:31:06+00:00,"The bodies of seven people were found on Saturday, two days after a helicopter crashed in northern Italy. https://t.co/GiJPoGLc2p"
